stop_name,stop_count
Şehit Üsteğmen Ahmet Konuksever,3
Şen,3
1 Nolu Sağlık Ocağı,2
100.Yıl İlkokulu,2
112 Acil Yardım,2
13.Nis,2
15 Temmuz Şehitler Anadolu Lisesi,2
2 Nolu Çağdaş Kahraman Sağlık Ocağı,2
2. Etap,2
23.Nis,2
26 Ağustos Kapısı,2
30 Ağustos İlköğretim Okulu,2
35 Evleri,2
4. Cadde,2
4. Etap,2
4. Sanayi Ege,2
4. Sanayi Güven,2
4. Sanayi Trafo,2
5. Etap,2
5. Etap Üst Yol,2
6. Etap,2
6. Etap Tepe,2
7 Eylül,2
7. Etap,2
7. Etap Tepe,2
8. Etap,2
9 Eylül,2
9 Eylül Muhtarlık,2
95 Evler,2
Acarlar,2
Acer,2
Acil Servis,2
Adalet Mahallesi,2
Adatepe,2
Adatepe Park,2
Adatepe Son Durak,2
Adatepe Villaları,2
Adatepe Üçgen Park,2
Adem Saatçi Ortaokulu,2
Adem Yavuz,2
Adem Yavuz Parkı,2
Adil Akçamlı,2
Adil Demir Sitesi,2
Adil İçel İlkokulu,2
Adile Naşit Parkı,2
Adliye,2
Adliye Lojmanları,2
Adliyeciler Sitesi,2
Adnan Kahveci,2
Adnan Kahveci Parkı,2
Adnan Menderes Anadolu Lisesi,2
Adnan Menderes İlkokulu,2
Afet Haberleşme,2
Afetevleri,2
Ahmallı,2
Ahmet Beyli Çiftlik,2
Ahmet Hamdi Tanpınar,2
Ahmet Necdet Sezer,2
Ahmet Ragıp Üzümcü İlkokulu,2
Ahmet Taner Kışlalı,2
Ahmet Yesevi,2
Ahmet Yesevi Cami,2
Ahmet Yesevi Öğrenci Yurdu,2
Ahmetbeyler,2
Ahmetbeyler Cami,2
Ahmetbeyli Cami,2
Ahmetbeyli Jandarma,2
Ahmetbeyli Kahveler,2
Ahmetbeyli Market,2
Ahmetbeyli Yolayrımı,2
Ahmetbeyli Çeşme,2
Ahmetbeyli Çiftlik Evleri,2
Ahmetli,2
Ahmetli Zeytinlik,2
Ahmetli Çamlık,2
Ahmetli Çıkış,2
Ahıska,2
Ahşap Ev,2
Aile Sağlığı Merkezi,2
Akalan Köy İçi,2
Akalan Park,2
Akalan Sütçüler Okul,2
Akalan Yan Yol,2
Akalan Yol Ayrımı,2
Akalan Çiftlik,2
Akarca,2
Akarca Adakent Sitesi,2
Akarca Balköy,2
Akarca Balıkçı Barınağı,2
Akarca Dörtyol,2
Akarca Elitkent Sitesi,2
Akarca Elmastaş Sitesi,2
Akarca Esenevler,2
Akarca Giriş,2
Akarca Halk Plajı,2
Akarca Kervansaray,2
Akarca Manzara,2
Akarca Otel,2
Akarca Sahil,2
Akarca Seyir,2
Akarca Siteler,2
Akarca Tuzla,2
Akarca İltur Sitesi,2
Akarca İşcan Sitesi,2
Akasma,2
Akasyalar,2
Akburun,2
Akdemir Parkı,2
Akevler,2
Akgül,2
Akgün Sitesi,2
Akif Ersezgin Lisesi,2
Akiş Öğütçü İlköğretim Okulu,2
Akkoca Tavuk Çiftliği,2
Akkoyunlu,2
Akkoyunlu Mezarlık,2
Akkoç,2
Akkum Yolu,2
Akkız,2
Akmeşe,2
Aksan,2
Aksu,2
Aktar,2
Aktaş Cami,2
Aktaşlar,2
Aktepe,2
Aktepe Cami,2
Aktepe Giriş,2
Aktepe Meşe,2
Aktepe Polis Lojmanları,2
Akyüz,2
Akça,2
Akçaalan,2
Akçaağaç,2
Akçaköy  İncir Fabrikası,2
Akçaköy Yol Ayrımı,2
Akçaköy Yolu,2
Akçaşehir,2
Akçeşme,2
Akıncılar Cami,2
Akıncılar Merkez,2
Akşemsettin İlkokulu,2
Alan,2
Alan Çiftliği,2
Alaniçi Giriş,2
Alaniçi Meydan,2
Alaniçi Yol Ayrımı,2
Alaniçi Çıkış,2
Alanköy,2
Alankıyı Bahçe,2
Alankıyı Dörtyol,2
Alankıyı Giriş,2
Alankıyı Yol Ayrımı,2
Alankıyı Yolu,2
Alaylı Yolu,2
Alaçatı Atatürk,2
Alaçatı Dostluk,2
Alaçatı Güneş,2
Alaçatı Mavi,2
Alaçatı Sanayi,2
Alaçatı Stadı,2
Alaçatı Çamlı,2
Alaçatı Çiçek,2
Alaşarlı,2
Albatros,2
Albay İbrahim Karaoğlanoğlu,2
Albayrak Mavişehir Evleri,2
Ali Akatlar,2
Ali Fuat Cebesoy İlkokulu,2
Ali Fuat Erden Mahallesi,2
Ali Fuat Erden Mahallesi Muhtarlığı,2
Ali Kuşçu İlkokulu,2
Ali Rıza Efendi İlkokulu,2
Ali Rıza Güven Cami,2
Ali İhsan Bey,2
Aliağa Balıkçı Barınağı,2
Aliağa Devlet Hastanesi,2
Aliağa Kamyon Garajı,2
Aliağa Liman,2
Aliağa Mesleki ve Teknik Anadolu Lisesi,2
Aliağa Organize Sanayi Yol Ayrımı,2
Aliağa Park,2
Aliağa Sahil,2
Aliağa Sanayi,2
Aliağa Terminal İçi,2
Aliağa İlçe Emniyet Müdürlüğü,2
Aliağa İskele,2
Alize,2
Alkent,2
Alp,2
Alparslan Mahallesi Muhtarlık,2
Alsancak Devlet Hastanesi,2
