stop_id;stop_name;latitude;longitude;has_valid_coordinate
14634;Yusuflu;38.1964160534758;27.6876016374126;1
14635;Yakacık;38.194891;27.692683;1
14636;Yakacık;38.1951121283356;27.6927093157537;1
14637;Yakacık Papatya;38.1874987988082;27.7047016544907;1
14638;Yakacık Papatya;38.18763280178;27.7048966542533;1
14639;Buruncuk;38.1754305317928;27.7127318196691;1
14640;Buruncuk;38.177066;27.711951;1
14641;Zeytinova;38.17089;27.722181;1
14642;Zeytinova;38.171269;27.722029;1
14643;Bayındır Meşe;38.164085;27.728623;1
14644;Bayındır Meşe;38.164026;27.729105;1
14645;Bayındır Leylak;38.162805;27.733564;1
14646;Bayındır Leylak;38.163;27.7334;1
14647;Pınarlı;38.1619;27.7387;1
14648;Pınarlı;38.1619;27.7391;1
14649;Pınarlı Cami;38.160997;27.742476;1
14650;Pınarlı Cami;38.16092;27.742296;1
14651;Zeybek;38.1602005312653;27.7456831530888;1
14652;Zeybek;38.160325983647;27.7457309896553;1
14653;Kasımpatı;38.1580981140494;27.7547022753951;1
14654;Kasımpatı;38.158474993678;27.7548450435348;1
14655;Frezya;38.1540830087573;27.7700494314983;1
14656;Frezya;38.1542890139619;27.7700994295431;1
14657;Bayraktepe;38.1541;27.7761;1
14658;Bayraktepe;38.1542938014272;27.7763928596654;1
14659;Derebaşı;38.1544910158556;27.7847995369874;1
14660;Derebaşı;38.1547720231176;27.7849385346751;1
14661;Derebaşı Zeytin;38.1548930257069;27.791861585344;1
14662;Derebaşı Zeytin;38.1549860281714;27.7910955784233;1
14663;Doyranlı;38.1685700127561;27.8228764052314;1
14664;Doyranlı;38.168784;27.822819;1
14665;Gökçen;38.170907;27.85901;1
14666;Gökçen;38.1712476596638;27.8588567450072;1
14667;İlkkurşun;38.172959;27.866336;1
14668;İlkkurşun;38.1735361080537;27.8669356763183;1
14669;Şirinköy;38.1807688191508;27.8749471551841;1
14670;Şirinköy;38.180814;27.874824;1
14671;Yeniköy Cami;38.1944;27.8895;1
14672;Yeniköy Cami;38.1947;27.8897;1
14673;Yeniköy Şehit Cengiz Topel İlkokulu;38.1976993479559;27.8931026379598;1
14674;Yeniköy Şehit Cengiz Topel İlkokulu;38.1979993571784;27.8933026337796;1
14675;Demircili Yol Ayrımı;38.2062;27.9052;1
14676;Demircili Yol Ayrımı;38.206305;27.905069;1
14677;Demircili;38.216155;27.918073;1
14678;Demircili;38.216249;27.91794;1
14679;Demircili Trafo;38.2189;27.9273;1
14680;Demircili Trafo;38.21901;27.927357;1
14681;Ödemiş Giriş;38.2230343300835;27.9526304868519;1
14682;Ödemiş Giriş;38.223153;27.952202;1
14683;Ömür;38.22398;27.957895;1
14684;Ömür;38.223963;27.957414;1
14685;Ödemiş Çeşme;38.225261;27.959669;1
14686;Ödemiş Çeşme;38.2255;27.9597;1
14687;Cumhuriyet Ortaokulu;38.2266;27.9629;1
14688;Cumhuriyet Ortaokulu;38.2267;27.9629;1
14689;Prof.Dr.Muzaffer Kula Anadolu Lisesi;38.2272675420702;27.9657983389257;1
14690;Prof.Dr.Muzaffer Kula Anadolu Lisesi;38.2274005303627;27.9658024625225;1
14691;Ekin Pazarı;38.2277;27.9687;1
14692;Ekin Pazarı;38.2277;27.9683;1
14693;Ödemiş Hükümet Konağı;38.228149;27.974298;1
14694;Ödemiş Hükümet Konağı;38.2283;27.9741;1
14695;Ödemiş Belediye;38.2281;27.9764;1
14696;Ödemiş Belediye;38.2282;27.9766;1
14697;Muzaffer Gönen Parkı;38.2249;27.9762;1
14698;Muzaffer Gönen Parkı;38.225;27.9763;1
14699;Kurtuluş;38.221886;27.973467;1
14700;Kurtuluş;38.2218;27.9735;1
14704;Ödemiş Yeni Garaj;38.2163692411013;27.9760167650838;1
