stop_id,stop_name,route_1,route_2
10104,Sosyal Sigortalar Kurumu,920,950
10104,Sosyal Sigortalar Kurumu,940,950
10106,Dokuz Eylül Rektörlük,121,202
10106,Dokuz Eylül Rektörlük,121,253
10106,Dokuz Eylül Rektörlük,121,910
10106,Dokuz Eylül Rektörlük,121,920
10106,Dokuz Eylül Rektörlük,121,940
10106,Dokuz Eylül Rektörlük,121,950
10106,Dokuz Eylül Rektörlük,202,253
10106,Dokuz Eylül Rektörlük,202,910
10106,Dokuz Eylül Rektörlük,202,920
10106,Dokuz Eylül Rektörlük,202,940
10106,Dokuz Eylül Rektörlük,202,950
10106,Dokuz Eylül Rektörlük,253,910
10106,Dokuz Eylül Rektörlük,253,920
10106,Dokuz Eylül Rektörlük,253,940
10106,Dokuz Eylül Rektörlük,253,950
10106,Dokuz Eylül Rektörlük,910,920
10106,Dokuz Eylül Rektörlük,910,940
10106,Dokuz Eylül Rektörlük,910,950
10106,Dokuz Eylül Rektörlük,920,940
10106,Dokuz Eylül Rektörlük,920,950
10106,Dokuz Eylül Rektörlük,940,950
10107,Dokuz Eylül Rektörlük,121,253
10107,Dokuz Eylül Rektörlük,121,920
10107,Dokuz Eylül Rektörlük,253,920
10108,Alsancak Devlet Hastanesi,121,253
10108,Alsancak Devlet Hastanesi,121,920
10108,Alsancak Devlet Hastanesi,253,920
10109,Alsancak Devlet Hastanesi,121,253
10109,Alsancak Devlet Hastanesi,121,920
10109,Alsancak Devlet Hastanesi,253,920
10110,Talatpaşa,121,253
10110,Talatpaşa,121,920
10110,Talatpaşa,253,920
10111,Talatpaşa,121,253
10111,Talatpaşa,121,920
10111,Talatpaşa,253,920
10112,Halit Ziya,121,202
10112,Halit Ziya,121,253
10112,Halit Ziya,121,910
10112,Halit Ziya,121,920
10112,Halit Ziya,121,940
10112,Halit Ziya,121,950
10112,Halit Ziya,202,253
10112,Halit Ziya,202,910
10112,Halit Ziya,202,920
10112,Halit Ziya,202,940
10112,Halit Ziya,202,950
10112,Halit Ziya,253,910
10112,Halit Ziya,253,920
10112,Halit Ziya,253,940
10112,Halit Ziya,253,950
10112,Halit Ziya,910,920
10112,Halit Ziya,910,940
10112,Halit Ziya,910,950
10112,Halit Ziya,920,940
10112,Halit Ziya,920,950
10112,Halit Ziya,940,950
10117,Hisarönü,23,35
10117,Hisarönü,23,811
10117,Hisarönü,23,930
10117,Hisarönü,23,940
10117,Hisarönü,23,951
10117,Hisarönü,35,811
10117,Hisarönü,35,930
10117,Hisarönü,35,940
10117,Hisarönü,35,951
10117,Hisarönü,811,930
10117,Hisarönü,811,940
10117,Hisarönü,811,951
10117,Hisarönü,930,940
10117,Hisarönü,930,951
10117,Hisarönü,940,951
10119,Kavaflar,104,105
10119,Kavaflar,104,171
10119,Kavaflar,104,285
10119,Kavaflar,104,35
10119,Kavaflar,104,374
10119,Kavaflar,104,465
10119,Kavaflar,104,471
10119,Kavaflar,104,484
10119,Kavaflar,104,485
10119,Kavaflar,104,72
10119,Kavaflar,104,811
10119,Kavaflar,105,171
10119,Kavaflar,105,285
10119,Kavaflar,105,35
10119,Kavaflar,105,374
10119,Kavaflar,105,465
10119,Kavaflar,105,471
10119,Kavaflar,105,484
10119,Kavaflar,105,485
10119,Kavaflar,105,72
10119,Kavaflar,105,811
10119,Kavaflar,171,285
10119,Kavaflar,171,35
10119,Kavaflar,171,374
10119,Kavaflar,171,465
10119,Kavaflar,171,471
10119,Kavaflar,171,484
10119,Kavaflar,171,485
10119,Kavaflar,171,72
10119,Kavaflar,171,811
10119,Kavaflar,285,35
10119,Kavaflar,285,374
10119,Kavaflar,285,465
10119,Kavaflar,285,471
10119,Kavaflar,285,484
10119,Kavaflar,285,485
10119,Kavaflar,285,72
10119,Kavaflar,285,811
10119,Kavaflar,35,374
10119,Kavaflar,35,465
10119,Kavaflar,35,471
10119,Kavaflar,35,484
10119,Kavaflar,35,485
10119,Kavaflar,35,72
10119,Kavaflar,35,811
10119,Kavaflar,374,465
10119,Kavaflar,374,471
10119,Kavaflar,374,484
10119,Kavaflar,374,485
10119,Kavaflar,374,72
10119,Kavaflar,374,811
10119,Kavaflar,465,471
10119,Kavaflar,465,484
10119,Kavaflar,465,485
10119,Kavaflar,465,72
10119,Kavaflar,465,811
10119,Kavaflar,471,484
10119,Kavaflar,471,485
10119,Kavaflar,471,72
10119,Kavaflar,471,811
10119,Kavaflar,484,485
10119,Kavaflar,484,72
10119,Kavaflar,484,811
10119,Kavaflar,485,72
10119,Kavaflar,485,811
10119,Kavaflar,72,811
10121,Çankaya,234,302
10121,Çankaya,234,41
10121,Çankaya,234,42
10121,Çankaya,234,44
10121,Çankaya,234,45
10121,Çankaya,234,46
10121,Çankaya,234,811
10121,Çankaya,234,951
10121,Çankaya,302,41
10121,Çankaya,302,42
10121,Çankaya,302,44
10121,Çankaya,302,45
10121,Çankaya,302,46
10121,Çankaya,302,811
10121,Çankaya,302,951
10121,Çankaya,41,42
10121,Çankaya,41,44
10121,Çankaya,41,45
10121,Çankaya,41,46
10121,Çankaya,41,811
10121,Çankaya,41,951
10121,Çankaya,42,44
10121,Çankaya,42,45
10121,Çankaya,42,46
10121,Çankaya,42,811
10121,Çankaya,42,951
10121,Çankaya,44,45
10121,Çankaya,44,46
10121,Çankaya,44,811
10121,Çankaya,44,951
10121,Çankaya,45,46
10121,Çankaya,45,811
10121,Çankaya,45,951
10121,Çankaya,46,811
10121,Çankaya,46,951
10121,Çankaya,811,951
10123,Basmane Ptt,34,35
10123,Basmane Ptt,34,36
10123,Basmane Ptt,34,39
10123,Basmane Ptt,34,466
10123,Basmane Ptt,34,811
10123,Basmane Ptt,34,838
10123,Basmane Ptt,35,36
10123,Basmane Ptt,35,39
10123,Basmane Ptt,35,466
10123,Basmane Ptt,35,811
10123,Basmane Ptt,35,838
10123,Basmane Ptt,36,39
10123,Basmane Ptt,36,466
10123,Basmane Ptt,36,811
10123,Basmane Ptt,36,838
10123,Basmane Ptt,39,466
10123,Basmane Ptt,39,811
10123,Basmane Ptt,39,838
10123,Basmane Ptt,466,811
10123,Basmane Ptt,466,838
10123,Basmane Ptt,811,838
10124,Çardak 2,234,34
10124,Çardak 2,234,39
10124,Çardak 2,234,41
10124,Çardak 2,234,42
10124,Çardak 2,234,44
10124,Çardak 2,234,45
10124,Çardak 2,234,46
10124,Çardak 2,34,39
10124,Çardak 2,34,41
10124,Çardak 2,34,42
10124,Çardak 2,34,44
10124,Çardak 2,34,45
10124,Çardak 2,34,46
10124,Çardak 2,39,41
10124,Çardak 2,39,42
10124,Çardak 2,39,44
10124,Çardak 2,39,45
10124,Çardak 2,39,46
10124,Çardak 2,41,42
10124,Çardak 2,41,44
10124,Çardak 2,41,45
10124,Çardak 2,41,46
10124,Çardak 2,42,44
10124,Çardak 2,42,45
10124,Çardak 2,42,46
10124,Çardak 2,44,45
10124,Çardak 2,44,46
10124,Çardak 2,45,46
10126,Borsa,302,35
10126,Borsa,302,36
10126,Borsa,302,466
10126,Borsa,302,838
10126,Borsa,302,930
10126,Borsa,302,951
10126,Borsa,35,36
10126,Borsa,35,466
10126,Borsa,35,838
10126,Borsa,35,930
10126,Borsa,35,951
10126,Borsa,36,466
10126,Borsa,36,838
10126,Borsa,36,930
10126,Borsa,36,951
10126,Borsa,466,838
10126,Borsa,466,930
10126,Borsa,466,951
10126,Borsa,838,930
10126,Borsa,838,951
10126,Borsa,930,951
10128,Çardak,302,35
10128,Çardak,302,36
10128,Çardak,302,466
10128,Çardak,302,811
10128,Çardak,302,838
10128,Çardak,302,951
10128,Çardak,35,36
10128,Çardak,35,466
10128,Çardak,35,811
10128,Çardak,35,838
10128,Çardak,35,951
10128,Çardak,36,466
10128,Çardak,36,811
10128,Çardak,36,838
10128,Çardak,36,951
10128,Çardak,466,811
10128,Çardak,466,838
10128,Çardak,466,951
10128,Çardak,811,838
10128,Çardak,811,951
