route_1,route_2,common_stop_count,common_stop_rank
128,749,39,73
329,429,39,73
508,910,39,73
597,599,39,73
597,699,39,73
602,912,39,73
608,912,39,73
616,618,39,73
621,796,39,73
621,803,39,73
646,835,39,73
660,912,39,73
662,699,39,73
697,705,39,73
705,806,39,73
705,858,39,73
748,749,39,73
753,759,39,73
793,795,39,73
800,912,39,73
82,9,39,73
887,910,39,73
18,579,38,74
214,249,38,74
335,477,38,74
353,818,38,74
470,940,38,74
515,930,38,74
53,57,38,74
559,598,38,74
577,78,38,74
602,920,38,74
608,827,38,74
608,920,38,74
611,618,38,74
616,621,38,74
640,642,38,74
645,842,38,74
646,842,38,74
657,750,38,74
657,757,38,74
660,920,38,74
747,759,38,74
776,989,38,74
780,782,38,74
788,793,38,74
800,920,38,74
102,502,37,75
214,515,37,75
342,443,37,75
490,515,37,75
5,82,37,75
522,877,37,75
611,621,37,75
675,983,37,75
722,858,37,75
747,753,37,75
769,949,37,75
770,782,37,75
781,782,37,75
782,786,37,75
782,798,37,75
849,935,37,75
104,875,36,76
117,367,36,76
121,821,36,76
214,930,36,76
240,426,36,76
240,434,36,76
247,447,36,76
321,5,36,76
367,60,36,76
426,434,36,76
443,816,36,76
470,515,36,76
5,8,36,76
5,909,36,76
5,975,36,76
5,981,36,76
5,982,36,76
5,983,36,76
5,984,36,76
5,985,36,76
5,987,36,76
598,662,36,76
648,658,36,76
712,724,36,76
713,724,36,76
719,724,36,76
719,782,36,76
721,724,36,76
724,763,36,76
724,784,36,76
724,786,36,76
750,756,36,76
770,786,36,76
780,786,36,76
781,786,36,76
786,798,36,76
801,803,36,76
801,806,36,76
912,920,36,76
962,981,36,76
962,982,36,76
117,317,35,77
117,64,35,77
121,777,35,77
193,524,35,77
200,887,35,77
229,429,35,77
295,608,35,77
428,749,35,77
472,871,35,77
6,82,35,77
60,64,35,77
621,697,35,77
621,806,35,77
697,787,35,77
7,82,35,77
701,719,35,77
701,786,35,77
712,782,35,77
713,782,35,77
719,770,35,77
719,780,35,77
719,781,35,77
719,798,35,77
721,782,35,77
724,770,35,77
724,780,35,77
724,781,35,77
724,785,35,77
724,795,35,77
724,798,35,77
763,782,35,77
782,784,35,77
787,788,35,77
193,522,34,78
196,477,34,78
321,6,34,78
321,7,34,78
367,368,34,78
367,64,34,78
428,820,34,78
510,910,34,78
54,555,34,78
584,585,34,78
6,8,34,78
6,909,34,78
6,975,34,78
6,981,34,78
6,982,34,78
6,983,34,78
6,984,34,78
6,985,34,78
6,987,34,78
668,768,34,78
7,8,34,78
7,909,34,78
7,975,34,78
7,981,34,78
7,982,34,78
7,983,34,78
7,984,34,78
7,985,34,78
7,987,34,78
701,713,34,78
701,721,34,78
701,763,34,78
701,784,34,78
712,770,34,78
712,780,34,78
712,781,34,78
712,798,34,78
713,770,34,78
713,780,34,78
713,781,34,78
713,798,34,78
721,770,34,78
721,780,34,78
721,781,34,78
721,798,34,78
737,761,34,78
737,961,34,78
750,850,34,78
757,850,34,78
760,978,34,78
763,770,34,78
763,780,34,78
763,781,34,78
763,798,34,78
770,784,34,78
780,784,34,78
781,784,34,78
781,858,34,78
782,785,34,78
784,798,34,78
882,961,34,78
906,978,34,78
961,978,34,78
104,470,33,79
105,171,33,79
121,920,33,79
135,137,33,79
137,742,33,79
152,353,33,79
152,510,33,79
268,358,33,79
321,551,33,79
346,446,33,79
353,510,33,79
353,691,33,79
353,910,33,79
472,72,33,79
472,878,33,79
480,551,33,79
510,691,33,79
522,823,33,79
523,524,33,79
551,82,33,79
551,909,33,79
551,975,33,79
551,981,33,79
551,982,33,79
551,983,33,79
551,984,33,79
551,985,33,79
551,987,33,79
602,749,33,79
648,749,33,79
660,666,33,79
661,666,33,79
666,745,33,79
679,790,33,79
681,950,33,79
701,785,33,79
701,795,33,79
72,871,33,79
728,828,33,79
749,800,33,79
760,882,33,79
761,882,33,79
770,785,33,79
770,795,33,79
780,785,33,79
780,795,33,79
781,785,33,79
781,795,33,79
785,798,33,79
787,806,33,79
795,798,33,79
882,906,33,79
102,662,32,80
137,78,32,80
147,434,32,80
171,676,32,80
23,823,32,80
304,490,32,80
321,762,32,80
551,8,32,80
560,67,32,80
60,67,32,80
618,621,32,80
658,749,32,80
691,887,32,80
695,827,32,80
77,78,32,80
788,795,32,80
8,9,32,80
883,982,32,80
104,284,31,81
123,342,31,81
126,326,31,81
147,240,31,81
147,426,31,81
148,426,31,81
171,476,31,81
176,177,31,81
18,575,31,81
200,539,31,81
304,470,31,81
304,515,31,81
346,810,31,81
359,599,31,81
359,699,31,81
364,560,31,81
508,691,31,81
575,579,31,81
609,618,31,81
645,936,31,81
646,936,31,81
697,722,31,81
713,722,31,81
722,806,31,81
727,782,31,81
738,984,31,81
762,962,31,81
769,772,31,81
104,374,30,82
147,148,30,82
148,240,30,82
148,258,30,82
148,434,30,82
200,910,30,82
214,662,30,82
214,699,30,82
249,662,30,82
249,699,30,82
305,971,30,82
322,326,30,82
335,77,30,82
